overall_hour,national_demand,Eastern Cape_corrected,Limpopo_corrected,Mpumalanga_corrected,Gauteng_corrected,Western Cape_corrected,Northern Cape_corrected,Hydra Central_corrected,Kwazulu Natal_corrected,North West_corrected,Free State_corrected
3812,31372.7079554811,1491.9402880921282,2760.1628714368976,3425.6658999769847,9885.329329355798,3107.315373446348,612.9647778557928,186.86783147278632,5791.087352905654,3099.6358389916995,1011.7383919470074
3813,29524.5526997648,1338.4023206448694,2601.564116523844,3395.0840147473987,9214.154604246967,2874.8034904655924,623.5000805511561,136.4815168930229,5357.485508771137,3047.9648672145154,935.1121797063008
3814,26977.4848389237,1168.671525365369,2440.003487582916,3218.033949467182,8098.075379546085,2593.3305447040625,558.2096773721945,104.50938229635528,4946.150915816785,3015.589401967275,834.9105748054742
3815,24759.2236399858,1038.8167183017908,2322.008043453633,3085.3816012499933,7073.664182350014,2309.3355635819453,513.4897987598654,101.53503939375132,4620.2827891307625,2935.94852625604,758.761377508
3816,23175.4395877279,974.2595197972456,2254.561625226978,2998.041780498212,6412.776904211863,2144.253957736083,477.65038641210776,99.96883681240352,4376.076378986555,2731.494078821423,706.3561192250246
3817,22550.3900442806,937.1279764155108,2211.896601020363,2925.178493818841,6029.319925249406,2027.7812575988112,474.24785383355584,106.89714994344818,4327.911221798377,2830.491331704501,679.5382328977904
3818,22419.9792994719,912.3048226762204,2229.313381405095,2894.4051209429776,5945.966908198632,1911.4602323223075,482.0195603503779,103.31566748233564,4367.942713761626,2887.283683060544,685.9672092717818
3819,22404.6816652216,911.1290919312046,2185.7371569839797,2902.0032696291364,5984.983233854205,1899.706955998862,476.2131480055447,93.19272399685174,4375.153754947467,2889.091480405061,687.4708494692883
3820,22622.4651128731,903.8817856108976,2182.878939762072,2845.290717049333,6308.167347542161,1920.390087042622,456.86225567427925,89.64822227016539,4405.45624499607,2822.2895930545787,687.5999198709185
3821,23955.9581697733,995.5812689474654,2283.5299543198125,2867.4491009719104,6927.288871983631,2063.23410779703,462.0400889077927,91.01921958090456,4729.774170035053,2818.615029310305,717.426357919398
3822,26438.4593531228,1242.8323287102191,2459.138282620978,3012.7395115300315,7924.050800062874,2379.097466446858,508.1167116175568,109.6908133170768,5109.193050203095,2862.6433194929505,830.9570691211579
3823,27923.4670166612,1504.4853796931277,2415.023574376417,2779.3299931244646,8648.629243197716,2661.604550192761,541.541006247067,131.1821390148342,5481.645006096636,2856.698987192034,903.327137526142
